route,airline,departure_point,arrival_point,aircraft_model,business_seats,economy_seats,departure_time,arrival_time
FV6858,Rossiya,МИНЕРАЛЬНЫЕ ВОДЫ,САНКТ-ПЕТЕРБУРГ (ПУЛКОВО),AIRBUS INDUSTRIE A319,8,120,08.03.2025 16:00,08.03.2025 20:00
FV6358,Rossiya,МИНЕРАЛЬНЫЕ ВОДЫ,САНКТ-ПЕТЕРБУРГ (ПУЛКОВО),AIRBUS INDUSTRIE A320,12,156,08.03.2025 17:20,08.03.2025 21:15
FV6986,Rossiya,МИНЕРАЛЬНЫЕ ВОДЫ,КРАСНОЯРСК,AIRBUS INDUSTRIE A319,8,120,09.03.2025 11:35,09.03.2025 20:40
FV6356,Rossiya,МИНЕРАЛЬНЫЕ ВОДЫ,САНКТ-ПЕТЕРБУРГ (ПУЛКОВО),AIRBUS INDUSTRIE A319,8,120,09.03.2025 13:15,09.03.2025 17:10
FV6858,Rossiya,МИНЕРАЛЬНЫЕ ВОДЫ,САНКТ-ПЕТЕРБУРГ (ПУЛКОВО),AIRBUS INDUSTRIE A319,8,120,09.03.2025 16:00,09.03.2025 20:00
FV6358,Rossiya,МИНЕРАЛЬНЫЕ ВОДЫ,САНКТ-ПЕТЕРБУРГ (ПУЛКОВО),A320 Passenger (sharklets),8,150,09.03.2025 17:20,09.03.2025 21:15
FV6066,Rossiya,МАХАЧКАЛА,САНКТ-ПЕТЕРБУРГ (ПУЛКОВО),AIRBUS INDUSTRIE A319,8,120,08.03.2025 16:40,08.03.2025 20:20
FV6072,Rossiya,МАХАЧКАЛА,МОСКВА (ШЕРЕМЕТЬЕВО),Sukhoi Superjet-100-95B,12,75,08.03.2025 18:20,08.03.2025 21:30
FV6066,Rossiya,МАХАЧКАЛА,САНКТ-ПЕТЕРБУРГ (ПУЛКОВО),AIRBUS INDUSTRIE A319,8,120,09.03.2025 16:40,09.03.2025 20:20
FV6290,Rossiya,МАГАДАН (СОКОЛ),МОСКВА (ШЕРЕМЕТЬЕВО),BOEING 747-400 PASSENGER,12,510,10.03.2025 14:35,10.03.2025 14:00
FV6476,Rossiya,КРАСНОЯРСК,САНКТ-ПЕТЕРБУРГ (ПУЛКОВО),AIRBUS INDUSTRIE A319,8,120,08.03.2025 18:00,08.03.2025 19:10
FV6875,Rossiya,КРАСНОЯРСК,СОЧИ (АДЛЕР),BOIENG 737-800 (WINGLETS),12,156,08.03.2025 18:20,08.03.2025 20:30
FV6799,Rossiya,КРАСНОЯРСК,ЕКАТЕРИНБУРГ (КОЛЬЦОВО),Sukhoi Superjet-100-95B,12,75,08.03.2025 18:55,08.03.2025 20:10
FV6621,Rossiya,КРАСНОЯРСК,ДАСИН,AIRBUS INDUSTRIE A319,8,120,08.03.2025 19:15,09.03.2025 00:15
FV6574,Rossiya,КРАСНОЯРСК,САНКТ-ПЕТЕРБУРГ (ПУЛКОВО),AIRBUS INDUSTRIE A319,8,120,08.03.2025 20:45,08.03.2025 21:50
FV6623,Rossiya,КРАСНОЯРСК,САНЬЯ,BOIENG 737-800 (WINGLETS),12,156,08.03.2025 21:15,09.03.2025 04:35
FV6685,Rossiya,КРАСНОЯРСК,ИРКУТСК,Sukhoi Superjet-100-95N,0,100,08.03.2025 21:25,09.03.2025 00:10
FV6721,Rossiya,КРАСНОЯРСК,АЛМАТЫ,AIRBUS INDUSTRIE A319,8,120,08.03.2025 21:35,08.03.2025 22:35
FV6905,Rossiya,КРАСНОЯРСК,ТЮМЕНЬ (РОЩИНО),Sukhoi Superjet-100-95N,0,100,08.03.2025 23:40,09.03.2025 00:35
FV6847,Rossiya,КРАСНОЯРСК,САМАРА (КУРУМОЧ),AIRBUS INDUSTRIE A319,8,120,09.03.2025 07:55,09.03.2025 09:10
FV6881,Rossiya,КРАСНОЯРСК,ИРКУТСК,Sukhoi Superjet-100-95N,0,100,09.03.2025 08:20,09.03.2025 11:10
FV6879,Rossiya,КРАСНОЯРСК,БЛАГОВЕЩЕНСК (ИГНАТЬЕВО),BOIENG 737-800 (WINGLETS),12,156,09.03.2025 08:30,09.03.2025 14:10
FV6985,Rossiya,КРАСНОЯРСК,МИНЕРАЛЬНЫЕ ВОДЫ,AIRBUS INDUSTRIE A319,8,120,09.03.2025 08:45,09.03.2025 10:35
FV2451,Rossiya,КРАСНОЯРСК,УЛАН-УДЭ,AIRBUS INDUSTRIE A319,8,120,09.03.2025 09:20,09.03.2025 12:20
FV6819,Rossiya,КРАСНОЯРСК,ЧИТА (КАДАЛА),Sukhoi Superjet-100-95N,0,100,09.03.2025 11:50,09.03.2025 16:15
FV6791,Rossiya,КРАСНОЯРСК,ЕКАТЕРИНБУРГ (КОЛЬЦОВО),Sukhoi Superjet-100-95N,0,100,09.03.2025 16:00,09.03.2025 17:15
FV6476,Rossiya,КРАСНОЯРСК,САНКТ-ПЕТЕРБУРГ (ПУЛКОВО),AIRBUS INDUSTRIE A319,8,120,09.03.2025 17:40,09.03.2025 18:50
FV6875,Rossiya,КРАСНОЯРСК,СОЧИ (АДЛЕР),BOIENG 737-800 (WINGLETS),12,156,09.03.2025 18:20,09.03.2025 20:30
FV6574,Rossiya,КРАСНОЯРСК,САНКТ-ПЕТЕРБУРГ (ПУЛКОВО),AIRBUS INDUSTRIE A319,8,120,09.03.2025 19:55,09.03.2025 21:05
FV6725,Rossiya,КРАСНОЯРСК,ТАШКЕНТ,AIRBUS INDUSTRIE A319,8,120,09.03.2025 20:55,09.03.2025 22:40
FV6793,Rossiya,КРАСНОЯРСК,ОШ,BOIENG 737-800 (WINGLETS),12,156,09.03.2025 21:15,09.03.2025 23:45
FV6685,Rossiya,КРАСНОЯРСК,ИРКУТСК,Sukhoi Superjet-100-95N,0,100,09.03.2025 21:25,10.03.2025 00:10
FV6861,Rossiya,КРАСНОЯРСК,НОВОСИБИРСК (ТОЛМАЧЕВО),Sukhoi Superjet-100-95N,0,100,09.03.2025 21:50,09.03.2025 23:15
FV6845,Rossiya,КРАСНОЯРСК,ОМСК (ЦЕНТРАЛЬНЫЙ),Sukhoi Superjet-100-95N,0,100,09.03.2025 23:20,10.03.2025 00:30
FV6877,Rossiya,КРАСНОЯРСК,БЛАГОВЕЩЕНСК (ИГНАТЬЕВО),AIRBUS INDUSTRIE A319,8,120,10.03.2025 01:45,10.03.2025 07:20
FV6839,Rossiya,КРАСНОЯРСК,НЕРЮНГРИ (ЧУЛЬМАН),Sukhoi Superjet-100-95N,0,100,10.03.2025 06:55,10.03.2025 12:05
FV6901,Rossiya,КРАСНОЯРСК,ВЛАДИВОСТОК (КНЕВИЧИ),AIRBUS INDUSTRIE A319,8,120,10.03.2025 07:55,10.03.2025 16:00
FV6835,Rossiya,КРАСНОЯРСК,МАГАДАН (СОКОЛ),BOIENG 737-800 (WINGLETS),12,156,10.03.2025 08:15,10.03.2025 17:05
FV6881,Rossiya,КРАСНОЯРСК,ИРКУТСК,Sukhoi Superjet-100-95N,0,100,10.03.2025 08:20,10.03.2025 11:10
FV6879,Rossiya,КРАСНОЯРСК,БЛАГОВЕЩЕНСК (ИГНАТЬЕВО),BOIENG 737-800 (WINGLETS),12,156,10.03.2025 08:35,10.03.2025 14:10
FV6883,Rossiya,КРАСНОЯРСК,ХАБАРОВСК (НОВЫЙ),AIRBUS INDUSTRIE A319,8,120,10.03.2025 09:00,10.03.2025 16:20
FV6791,Rossiya,КРАСНОЯРСК,ЕКАТЕРИНБУРГ (КОЛЬЦОВО),AIRBUS INDUSTRIE A319,8,120,10.03.2025 11:30,10.03.2025 12:35
FV6817,Rossiya,КРАСНОЯРСК,НОВЫЙ УРЕНГОЙ (ЯГЕЛЬНОЕ),Sukhoi Superjet-100-95N,0,100,10.03.2025 12:05,10.03.2025 12:40
FV6312,Rossiya,КАЛИНИНГРАД (ХРАБРОВО),МОСКВА (ШЕРЕМЕТЬЕВО),BOEING 737-900 PASSENGER,0,215,08.03.2025 12:45,08.03.2025 16:25
FV6326,Rossiya,КАЛИНИНГРАД (ХРАБРОВО),САНКТ-ПЕТЕРБУРГ (ПУЛКОВО),Sukhoi Superjet-100-95N,0,100,08.03.2025 12:50,08.03.2025 15:50
FV6334,Rossiya,КАЛИНИНГРАД (ХРАБРОВО),САНКТ-ПЕТЕРБУРГ (ПУЛКОВО),Sukhoi Superjet-100-95N,0,100,08.03.2025 15:15,08.03.2025 18:15
FV6662,Rossiya,КАЛИНИНГРАД (ХРАБРОВО),МОСКВА (ШЕРЕМЕТЬЕВО),BOEING 737-900 PASSENGER,0,215,08.03.2025 17:45,08.03.2025 21:15
FV6330,Rossiya,КАЛИНИНГРАД (ХРАБРОВО),САНКТ-ПЕТЕРБУРГ (ПУЛКОВО),Sukhoi Superjet-100-95B,12,75,08.03.2025 17:55,08.03.2025 20:55
FV6314,Rossiya,КАЛИНИНГРАД (ХРАБРОВО),МОСКВА (ШЕРЕМЕТЬЕВО),BOEING 737-900 PASSENGER,0,215,08.03.2025 20:25,08.03.2025 23:55
FV6324,Rossiya,КАЛИНИНГРАД (ХРАБРОВО),САНКТ-ПЕТЕРБУРГ (ПУЛКОВО),Sukhoi Superjet-100-95B,12,75,09.03.2025 09:45,09.03.2025 12:40
FV6312,Rossiya,КАЛИНИНГРАД (ХРАБРОВО),МОСКВА (ШЕРЕМЕТЬЕВО),BOEING 737-900 PASSENGER,0,215,09.03.2025 12:45,09.03.2025 16:25
FV6833,Rossiya,КАЛИНИНГРАД (ХРАБРОВО),АПАТИТЫ (ХИБИНЫ),AIRBUS INDUSTRIE A319,8,120,09.03.2025 13:35,09.03.2025 17:30
FV6334,Rossiya,КАЛИНИНГРАД (ХРАБРОВО),САНКТ-ПЕТЕРБУРГ (ПУЛКОВО),Sukhoi Superjet-100-95N,0,100,09.03.2025 15:15,09.03.2025 18:15
FV6662,Rossiya,КАЛИНИНГРАД (ХРАБРОВО),МОСКВА (ШЕРЕМЕТЬЕВО),BOEING 737-900 PASSENGER,0,215,09.03.2025 17:45,09.03.2025 21:15
FV6330,Rossiya,КАЛИНИНГРАД (ХРАБРОВО),САНКТ-ПЕТЕРБУРГ (ПУЛКОВО),AIRBUS INDUSTRIE A319,8,120,09.03.2025 17:55,09.03.2025 20:40
FV6314,Rossiya,КАЛИНИНГРАД (ХРАБРОВО),МОСКВА (ШЕРЕМЕТЬЕВО),BOEING 737-900 PASSENGER,0,215,09.03.2025 20:25,09.03.2025 23:55
FV6328,Rossiya,КАЛИНИНГРАД (ХРАБРОВО),САНКТ-ПЕТЕРБУРГ (ПУЛКОВО),AIRBUS INDUSTRIE A319,8,120,09.03.2025 21:30,10.03.2025 00:15
FV5793,Rossiya,КАЗАНЬ,ХУРГАДА,BOEING 737-800,0,189,08.03.2025 15:40,08.03.2025 21:00
FV6596,Rossiya,КАЗАНЬ,САНКТ-ПЕТЕРБУРГ (ПУЛКОВО),AIRBUS INDUSTRIE A319,8,120,09.03.2025 07:45,09.03.2025 10:00
FV6596,Rossiya,КАЗАНЬ,САНКТ-ПЕТЕРБУРГ (ПУЛКОВО),AIRBUS INDUSTRIE A319,8,120,10.03.2025 07:45,10.03.2025 10:00
FV6686,Rossiya,ИРКУТСК,КРАСНОЯРСК,Sukhoi Superjet-100-95N,0,100,09.03.2025 05:20,09.03.2025 06:15
FV6882,Rossiya,ИРКУТСК,КРАСНОЯРСК,Sukhoi Superjet-100-95N,0,100,09.03.2025 12:30,09.03.2025 13:20
FV6686,Rossiya,ИРКУТСК,КРАСНОЯРСК,Sukhoi Superjet-100-95N,0,100,10.03.2025 05:20,10.03.2025 06:15
FV6002,Rossiya,ИРКУТСК,САНКТ-ПЕТЕРБУРГ (ПУЛКОВО),BOEING 737-800,0,189,10.03.2025 11:45,10.03.2025 13:05
FV6882,Rossiya,ИРКУТСК,КРАСНОЯРСК,Sukhoi Superjet-100-95N,0,100,10.03.2025 12:30,10.03.2025 13:20
FV6376,Rossiya,ИЖЕВСК,МОСКВА (ШЕРЕМЕТЬЕВО),Sukhoi Superjet-100-95B,12,75,08.03.2025 21:00,08.03.2025 22:05
FV6378,Rossiya,ИЖЕВСК,МОСКВА (ШЕРЕМЕТЬЕВО),Sukhoi Superjet-100-95B,12,75,09.03.2025 11:35,09.03.2025 12:35
FV6376,Rossiya,ИЖЕВСК,МОСКВА (ШЕРЕМЕТЬЕВО),Sukhoi Superjet-100-95B,12,75,09.03.2025 21:00,09.03.2025 22:05
FV6720,Rossiya,ЕРЕВАН (ЗВАРТНОЦ),СОЧИ (АДЛЕР),Sukhoi Superjet-100-95B,12,75,08.03.2025 19:25,08.03.2025 19:45
FV6926,Rossiya,ЕРЕВАН (ЗВАРТНОЦ),САНКТ-ПЕТЕРБУРГ (ПУЛКОВО),A320 Passenger (sharklets),8,150,08.03.2025 21:30,09.03.2025 00:40
FV6720,Rossiya,ЕРЕВАН (ЗВАРТНОЦ),СОЧИ (АДЛЕР),Sukhoi Superjet-100-95B,12,75,09.03.2025 19:10,09.03.2025 19:40
FV6926,Rossiya,ЕРЕВАН (ЗВАРТНОЦ),САНКТ-ПЕТЕРБУРГ (ПУЛКОВО),AIRBUS INDUSTRIE A319,8,120,09.03.2025 21:30,10.03.2025 00:40
FV5571,Rossiya,ЕКАТЕРИНБУРГ (КОЛЬЦОВО),ХУРГАДА,BOEING 737-800,0,189,08.03.2025 16:30,08.03.2025 20:10
FV6208,Rossiya,ЕКАТЕРИНБУРГ (КОЛЬЦОВО),МОСКВА (ШЕРЕМЕТЬЕВО),Sukhoi Superjet-100-95B,12,75,08.03.2025 21:10,08.03.2025 21:55
FV6404,Rossiya,ЕКАТЕРИНБУРГ (КОЛЬЦОВО),САНКТ-ПЕТЕРБУРГ (ПУЛКОВО),Sukhoi Superjet-100-95N,0,100,08.03.2025 22:25,08.03.2025 23:20
FV6402,Rossiya,ЕКАТЕРИНБУРГ (КОЛЬЦОВО),САНКТ-ПЕТЕРБУРГ (ПУЛКОВО),AIRBUS INDUSTRIE A319,8,120,09.03.2025 06:15,09.03.2025 07:10
FV5569,Rossiya,ЕКАТЕРИНБУРГ (КОЛЬЦОВО),ШАРМ-ЭЛЬ-ШЕЙХ,BOEING 737-800,0,189,09.03.2025 17:35,09.03.2025 21:10
FV6792,Rossiya,ЕКАТЕРИНБУРГ (КОЛЬЦОВО),КРАСНОЯРСК,Sukhoi Superjet-100-95N,0,100,09.03.2025 18:15,09.03.2025 23:20
FV6418,Rossiya,ЕКАТЕРИНБУРГ (КОЛЬЦОВО),САНКТ-ПЕТЕРБУРГ (ПУЛКОВО),Sukhoi Superjet-100-95N,0,100,09.03.2025 18:20,09.03.2025 19:25
FV6404,Rossiya,ЕКАТЕРИНБУРГ (КОЛЬЦОВО),САНКТ-ПЕТЕРБУРГ (ПУЛКОВО),Sukhoi Superjet-100-95N,0,100,09.03.2025 22:25,09.03.2025 23:20
FV6402,Rossiya,ЕКАТЕРИНБУРГ (КОЛЬЦОВО),САНКТ-ПЕТЕРБУРГ (ПУЛКОВО),AIRBUS INDUSTRIE A319,8,120,10.03.2025 06:15,10.03.2025 07:10
FV6622,Rossiya,ДАСИН,КРАСНОЯРСК,AIRBUS INDUSTRIE A319,8,120,09.03.2025 01:15,09.03.2025 04:20
FV6614,Rossiya,ДАСИН,ВЛАДИВОСТОК (КНЕВИЧИ),Sukhoi Superjet-100-95B,12,75,09.03.2025 02:00,09.03.2025 06:30
FV6134,Rossiya,ГРОЗНЫЙ,САНКТ-ПЕТЕРБУРГ (ПУЛКОВО),Sukhoi Superjet-100-95B,12,75,09.03.2025 13:10,09.03.2025 16:45
FV6830,Rossiya,ГОРНО-АЛТАЙСК,САНКТ-ПЕТЕРБУРГ (ПУЛКОВО),A320 Passenger (sharklets),8,150,09.03.2025 10:10,09.03.2025 11:15
FV6116,Rossiya,ВОЛГОГРАД (ГУМРАК),САНКТ-ПЕТЕРБУРГ (ПУЛКОВО),AIRBUS INDUSTRIE A320,12,156,08.03.2025 18:35,08.03.2025 21:10
FV6116,Rossiya,ВОЛГОГРАД (ГУМРАК),САНКТ-ПЕТЕРБУРГ (ПУЛКОВО),BOEING 737-800,0,189,09.03.2025 18:35,09.03.2025 21:10
FV6613,Rossiya,ВЛАДИВОСТОК (КНЕВИЧИ),ДАСИН,Sukhoi Superjet-100-95B,12,75,09.03.2025 00:15,09.03.2025 01:00
FV2461,Rossiya,ВЛАДИВОСТОК (КНЕВИЧИ),БЛАГОВЕЩЕНСК (ИГНАТЬЕВО),Sukhoi Superjet-100-95B,12,75,09.03.2025 06:25,09.03.2025 07:45
FV6647,Rossiya,ВЛАДИВОСТОК (КНЕВИЧИ),ШАНХАЙ (ПУ ДОНГ),Sukhoi Superjet-100-95B,12,75,09.03.2025 22:10,10.03.2025 00:05
FV6645,Rossiya,ВЛАДИВОСТОК (КНЕВИЧИ),ХАРБИН,Sukhoi Superjet-100-95B,12,75,10.03.2025 06:15,10.03.2025 05:40
FV6928,Rossiya,ВАРАДЕРО,МОСКВА (ШЕРЕМЕТЬЕВО),BOEING 777-300ER,21,436,08.03.2025 19:25,09.03.2025 16:00
FV2478,Rossiya,БЛАГОВЕЩЕНСК (ИГНАТЬЕВО),ХАБАРОВСК (НОВЫЙ),Sukhoi Superjet-100-95B,12,75,09.03.2025 10:05,09.03.2025 12:30
FV6256,Rossiya,БЛАГОВЕЩЕНСК (ИГНАТЬЕВО),МОСКВА (ШЕРЕМЕТЬЕВО),BOEING 777-300,18,355,09.03.2025 13:15,09.03.2025 14:55
FV6880,Rossiya,БЛАГОВЕЩЕНСК (ИГНАТЬЕВО),КРАСНОЯРСК,BOIENG 737-800 (WINGLETS),12,156,09.03.2025 15:20,09.03.2025 17:15
FV2462,Rossiya,БЛАГОВЕЩЕНСК (ИГНАТЬЕВО),ВЛАДИВОСТОК (КНЕВИЧИ),Sukhoi Superjet-100-95B,12,75,09.03.2025 15:45,09.03.2025 19:05
FV6878,Rossiya,БЛАГОВЕЩЕНСК (ИГНАТЬЕВО),КРАСНОЯРСК,AIRBUS INDUSTRIE A319,8,120,10.03.2025 08:35,10.03.2025 10:20
FV6974,Rossiya,БАКУ (МЕЖДУНАРОДНЫЙ),САНКТ-ПЕТЕРБУРГ (ПУЛКОВО),AIRBUS INDUSTRIE A319,8,120,08.03.2025 20:45,08.03.2025 23:55
FV6338,Rossiya,АРХАНГЕЛЬСК (ТАЛАГИ),МОСКВА (ШЕРЕМЕТЬЕВО),Sukhoi Superjet-100-95B,12,75,08.03.2025 13:10,08.03.2025 15:15
FV6336,Rossiya,АРХАНГЕЛЬСК (ТАЛАГИ),МОСКВА (ШЕРЕМЕТЬЕВО),Sukhoi Superjet-100-95B,12,75,08.03.2025 18:35,08.03.2025 20:40
FV6308,Rossiya,АРХАНГЕЛЬСК (ТАЛАГИ),САНКТ-ПЕТЕРБУРГ (ПУЛКОВО),Sukhoi Superjet-100-95B,12,75,08.03.2025 18:50,08.03.2025 20:25
FV6304,Rossiya,АРХАНГЕЛЬСК (ТАЛАГИ),САНКТ-ПЕТЕРБУРГ (ПУЛКОВО),Sukhoi Superjet-100-95B,12,75,09.03.2025 10:35,09.03.2025 12:20
FV6338,Rossiya,АРХАНГЕЛЬСК (ТАЛАГИ),МОСКВА (ШЕРЕМЕТЬЕВО),Sukhoi Superjet-100-95B,12,75,09.03.2025 13:10,09.03.2025 15:15
FV6336,Rossiya,АРХАНГЕЛЬСК (ТАЛАГИ),МОСКВА (ШЕРЕМЕТЬЕВО),Sukhoi Superjet-100-95B,12,75,09.03.2025 18:35,09.03.2025 20:40
FV6308,Rossiya,АРХАНГЕЛЬСК (ТАЛАГИ),САНКТ-ПЕТЕРБУРГ (ПУЛКОВО),Sukhoi Superjet-100-95B,12,75,09.03.2025 18:50,09.03.2025 20:25
FV6446,Rossiya,АПАТИТЫ (ХИБИНЫ),САНКТ-ПЕТЕРБУРГ (ПУЛКОВО),Sukhoi Superjet-100-95N,0,100,08.03.2025 13:55,08.03.2025 15:40
FV6854,Rossiya,АПАТИТЫ (ХИБИНЫ),САНКТ-ПЕТЕРБУРГ (ПУЛКОВО),AIRBUS INDUSTRIE A319,8,120,08.03.2025 17:55,08.03.2025 19:40
FV6446,Rossiya,АПАТИТЫ (ХИБИНЫ),САНКТ-ПЕТЕРБУРГ (ПУЛКОВО),Sukhoi Superjet-100-95N,0,100,09.03.2025 13:55,09.03.2025 15:40
FV6854,Rossiya,АПАТИТЫ (ХИБИНЫ),САНКТ-ПЕТЕРБУРГ (ПУЛКОВО),Sukhoi Superjet-100-95N,0,100,09.03.2025 17:55,09.03.2025 19:40
FV6834,Rossiya,АПАТИТЫ (ХИБИНЫ),КАЛИНИНГРАД (ХРАБРОВО),AIRBUS INDUSTRIE A319,8,120,09.03.2025 18:30,09.03.2025 20:30
FV6448,Rossiya,АПАТИТЫ (ХИБИНЫ),САНКТ-ПЕТЕРБУРГ (ПУЛКОВО),Sukhoi Superjet-100-95N,0,100,09.03.2025 21:55,09.03.2025 23:40
FV6962,Rossiya,АНТАЛЬЯ,САНКТ-ПЕТЕРБУРГ (ПУЛКОВО),AIRBUS INDUSTRIE A319,8,120,08.03.2025 16:45,08.03.2025 22:25
FV6812,Rossiya,АНАДЫРЬ (УГОЛЬНЫЙ),МОСКВА (ШЕРЕМЕТЬЕВО),BOEING 777-300,18,355,10.03.2025 15:30,10.03.2025 14:40
FV6682,Rossiya,АЛЬ-МАКТУМ,СОЧИ (АДЛЕР),Sukhoi Superjet-100-95B,12,75,08.03.2025 13:35,08.03.2025 16:40
FV6682,Rossiya,АЛЬ-МАКТУМ,СОЧИ (АДЛЕР),Sukhoi Superjet-100-95B,12,75,09.03.2025 13:35,09.03.2025 16:40
