"5.8.240.94","elite","AS3178","IQ","FastLine Communication And Information Technology","67","FastLine Communication And Information Technology Ltd","4153","socks4","1","99","1608","1625","2025-03-07T18:17:46.466Z","891"
"223.247.47.172","elite","AS4134","CN","Chinanet","223","Chinanet AH","8089","socks5","1","37","853","2330","2025-03-07T18:17:46.374Z","901"
"198.89.91.198","elite","AS21299","KZ","Kar-Tel LLC","71","Kar-Tel LLC","5678","socks4","1","89","8193","9250","2025-03-07T18:17:46.273Z","587"
"115.85.86.114","elite","N/A","ID","Sudirman Central Business District","173","N/A","5678","socks4","1","96","2396","2495","2025-03-07T18:17:46.470Z","388"
"103.59.203.201","elite","AS134014","IN","NET 4 U SERVICES PVT LTD","131","NET 4 U Services PVT LTD","4145","socks4","1","99","9157","9230","2025-03-07T18:17:46.471Z","776"
"192.210.239.214","elite","AS36352","US","HostPapa","97","N/A","3128","socks4","1","99","496","500","2025-03-07T18:17:46.668Z","2208"
"223.25.101.86","elite","AS9341","ID","PT Indonesia Comnets Plus","168","Sinerginet","5678","socks4","1","99","8914","9048","2025-03-07T18:17:46.384Z","892"
"196.0.111.186","elite","AS21491","UG","Uganda Telecom Ltd","192","UTL","46048","socks4","1","89","2245","2513","2025-03-07T18:17:46.371Z","1582"
"180.211.183.178","elite","AS45588","BD","Bangladesh Telecommunications Company Ltd.","171","N/A","33445","socks4","1","94","1760","1868","2025-03-07T18:17:46.672Z","5003"
"103.206.105.193","elite","AS18229","IN","Viral Communications Private Limited","137","Viral Communications Private Limited","3629","socks4","1","100","2471","2477","2025-03-07T18:17:46.385Z","344"
"197.234.13.20","elite","AS36902","SC","Intelvision","130","Intelvision Ltd","4145","socks4","1","100","9165","9209","2025-03-07T18:17:46.277Z","4197"
"197.234.13.56","elite","AS36902","SC","Intelvision","130","Intelvision Ltd","4145","socks4","1","99","9146","9194","2025-03-07T18:17:46.377Z","4596"
"181.12.80.21","elite","AS7303","AR","Telecom Argentina S.A.","232","Telecom Personal Bs","12000","socks4","1","100","2160","2162","2025-03-07T18:17:46.375Z","2707"
"218.1.200.156","elite","AS4812","CN","China Telecom (Group)","201","Chinanet SH","57114","socks4","1","54","4902","9116","2025-03-07T18:17:46.671Z","557"
"172.104.56.209","elite","AS63949","SG","Akamai Technologies","246","Linode","9050","socks5","1","99","9117","9245","2025-03-07T18:17:46.371Z","2099"
"31.6.26.113","elite","AS20473","DE","The Constant Company, LLC","3","Golden Frog GmbH","3128","socks5","1","88","2028","2306","2025-03-07T18:17:46.380Z","1197"
